# kappa, k
0.06283185307179587 0.06283032119393982 
0.12566370614359174 0.12565141645717673  
0.1884955592153876 0.18845456919792855  
0.25132741228718347 0.2512303837092025  
0.3141592653589793 0.3139690639753636  
0.3769911184307752 0.37666124751745966  
0.4398229715025711 0.43929688752096285  
0.5026548245743669 0.5018663263706621  
0.5654866776461628 0.564355856997958  
0.6283185307179586 0.6267584596877493  
0.6911503837897546 0.6890585381715993  
0.7539822368615504 0.7512451390750667  
0.8168140899333463 0.81330464962355  
0.8796459430051422 0.8752223920839597  
0.942477796076938 0.9369791138388521  
1.0053096491487339 0.9985667085948591  
1.0681415022205298 1.0599552230150735  
1.1309733552923256 1.1211346233829895  
1.1938052083641215 1.1820789307494717  
1.2566370614359172 1.2427615495057147  
1.3194689145077132 1.3031572391527007  
1.3823007675795091 1.3632431274417518  
1.4451326206513049 1.4229797602965204  
1.5079644737231008 1.4823281713838579  
1.5707963267948968 1.5412579017302055  
1.6336281798666925 1.599713582500881  
1.6964600329384885 1.6576525907566053  
1.7592918860102844 1.7150126737573144  
1.8221237390820801 1.7717407816378505  
1.884955592153876 1.8277442755363238  
1.9477874452256718 1.8829579827763347  
2.0106192982974678 1.9372860818300917  
2.0734511513692637 1.9906131442483204  
2.1362830044410597 2.0428296903181122  
2.199114857512855 2.093795662775262  
2.261946710584651 2.1433548006238987  
2.324778563656447 2.1913347891750035  
2.387610416728243 2.237530784014805  
2.450442269800039 2.281731244280743  
2.5132741228718345 2.3236729391151005  
2.5761059759436304 2.363087946775281  
2.6389378290154264 2.39967464049186  
2.7017696820872223 2.4331094005841405  
2.7646015351590183 2.4630521128368943  
2.8274333882308142 2.489159389984271  
2.8902652413026098 2.5110908036225283  
2.9530970943744057 2.528529277387394  
3.0159289474462017 2.541199866524313  
3.0787608005179976 2.548897802496256  
3.141592653589793 2.551478214785017  


